tail_num,code,description,state
N14974,2067,2067,NJ
N14977,3065,3065,NC
N14991,1272,1272,VA
N14993,2732,2732,TX
N14998,2216,2216,NC
N149AT,86,86,GA
N154DL,11,11,GA
N154SF,7246,7246,PA
N15509,2229,2229,IL
N15527,3043,3043,LA
N15555,102,102,CA
N15572,2952,2952,NJ
N15574,2456,2456,TX
N155AW,644,644,TX
N155DL,28,28,FL
N15659,1122,1122,NJ
N156AW,397,397,NV
N156DL,147,147,NY
N15710,1686,1686,CA
N15712,543,543,UT
N157AW,101,101,TX
N158AW,435,435,TX
N15910,2266,2266,NY
N15912,2343,2343,NC
N15926,2191,2191,TX
N15932,2472,2472,TX
N15941,2992,2992,TX
N15948,2893,2893,MS
N15973,2573,2573,TX
N15980,2802,2802,TX
N15983,2982,2982,NJ
N15985,3150,3150,NJ
N15986,2428,2428,NJ
N1602,147,147,NY
N1603,150,150,GA
N1605,66,66,FL
N16065,150,150,GA
N1607B,150,150,GA
N1608,57,57,GA
N1609,67,67,GA
N160AW,191,191,AZ
N1610D,134,134,GA
N16112,2205,2205,VA
N1612T,147,147,NY
N1613B,46,46,CA
N16147,3030,3030,TX
N16149,2937,2937,CO
N16151,2520,2520,TX
N16170,7651,7651,OR
N16178,1,1,TX
N16183,7667,7667,NV
N161UW,1550,1550,CA
N16217,1827,1827,CA
N16234,212,212,TX
N162UW,1287,1287,NC
N16301,1536,1536,CA
N16310,551,551,NC
N16339,1793,1793,OH
N163US,754,754,FL
N164AW,365,365,AZ
N16501,1280,1280,VA
N16502,3146,3146,OH
N16510,2424,2424,KY
N16511,1278,1278,VA
N16520,3111,3111,TX
N16525,2299,2299,TX
N16541,2951,2951,IN
N16546,10,10,CA
N16559,102,102,CA
N16561,102,102,CA
N16571,2367,2367,TX
N165US,1546,1546,NC
N16607,1185,1185,NJ
N16617,151,151,NC
N16618,1583,1583,TX
N16632,1196,1196,NJ
N16642,1156,1156,GA
N16646,1602,1602,TX
N16647,614,614,TX
N16648,632,632,TX
N16649,1181,1181,NJ
N16650,469,469,FL
N166AT,77,77,GA
N166AW,660,660,CO
N16701,387,387,NJ
N16703,1405,1405,OH
N16709,1694,1694,CA
N16713,158,158,TX
N16732,1704,1704,TX
N167AT,538,538,GA
N167US,1509,1509,NC
N168AT,187,187,GA
N168AW,532,532,NV
N16911,2711,2711,LA
N16918,3076,3076,TN
N16919,3097,3097,KY
N16927,2404,2404,NC
N16944,2191,2191,TX
N16951,3019,3019,TX
N16954,2554,2554,AL
N16961,1216,1216,VA
N16963,2145,2145,NE
N16976,2838,2838,OH
N16981,2251,2251,IN
N16987,2266,2266,WI
N16999,2022,2022,VA
N169AT,156,156,GA
N169DZ,147,147,NY
N169UW,1529,1529,NC
N170US,1505,1505,NC
N17104,754,754,NJ
N17105,1807,1807,FL
N17108,2086,2086,AR
N17115,2522,2522,TX
N17122,292,292,NJ
N17126,76,76,FL
N17128,292,292,NJ
N17133,577,577,FL
N17138,2173,2173,MO
N17139,1593,1593,FL
N17146,2050,2050,TX
N17156,7177,7177,IL
N17159,2173,2173,MO
N17169,7666,7666,UT
N17175,7182,7182,PA
N17196,103,103,CO
N171DN,12,12,CA
N171US,703,703,PA
N17229,327,327,CA
N17231,2739,2739,AZ
N17233,541,541,CA
N17244,1400,1400,FL
N17245,697,697,TX
N17275,2865,2865,OR
N172DN,150,150,GA
N172DZ,706,706,WA
N172US,1630,1630,NC
N17321,578,578,TX
N17326,1463,1463,TX
N17328,331,331,FL
N17329,303,303,NJ
N17337,2766,2766,AZ
N17344,726,726,CA
N17345,416,416,CA
N17356,1589,1589,MI
N17358,2841,2841,OR
N173AT,54,54,GA
N173DN,99,99,NY
N173DZ,533,533,GA
N173UA,247,247,IL
N173US,1507,1507,NY
N174AT,309,309,GA
N174DN,150,150,GA
N174DZ,67,67,GA
N174US,1921,1921,NC
N17507,2314,2314,NJ
N17513,2571,2571,KY
N17521,2374,2374,TX
N17524,2555,2555,MS
N17560,102,102,CA
N175AT,572,572,GA
N175AW,421,421,CA
N175DN,150,150,GA
N175DZ,147,147,NY
N17614,1410,1410,FL
N17619,432,432,TX
N17620,1855,1855,TX
N17627,1189,1189,MA
N17640,1119,1119,MA
N17644,370,370,NJ
N17663,525,525,NJ
N176AT,562,562,GA
N176DN,706,706,WA
N176DZ,1404,1404,FL
N176UW,1052,1052,CT
N17719,1558,1558,TX
N17730,658,658,TX
N177DN,712,712,FL
N177DZ,147,147,NY
N177US,1167,1167,NC
N178DZ,150,150,GA
N178JB,1048,1048,TN
N178US,1431,1431,NC
N17928,2234,2234,NJ
N17984,2690,2690,NJ
N1799U,1237,1237,MI
N179DN,28,28,FL
N179JB,1062,1062,TX
N179UW,1729,1729,NC
N180DN,147,147,NY
N180US,1135,1135,NC
N18101,2851,2851,NJ
N18102,2721,2721,NJ
N18112,36,36,FL
N18114,2558,2558,NJ
N18119,1519,1519,FL
N18120,2315,2315,NY
N181DN,152,152,CA
N181UW,989,989,NC
N18220,166,166,WA
N18223,6,6,TX
N18243,327,327,CA
N182DN,147,147,NY
N182UA,556,556,CA
N182UW,1792,1792,NC
N18350,1869,1869,FL
N183JB,1293,1293,MA
N183UW,938,938,NC
N184AT,174,174,GA
N184DN,706,706,WA
N184JB,1044,1044,TN
N184US,875,875,PA
N18556,209,209,CA
N18557,102,102,CA
N185DN,49,49,KY
N185UW,733,733,NC
N18611,1575,1575,OH
N18622,704,704,FL
N18658,1071,1071,OH
N186DN,535,535,GA
N186US,714,714,CA
N187DN,147,147,NY
N187JB,1084,1084,NC
N187US,1704,1704,NC
N188DN,147,147,NY
N188US,1533,1533,NC
N18982,2464,2464,CT
N189DN,147,147,NY
N189UW,1418,1418,CA
N190DN,125,125,GA
N190JB,1031,1031,NY
N190UW,1625,1625,NC
N19117,47,47,TX
N19130,1094,1094,CA
N19136,1401,1401,NJ
N19141,1618,1618,NJ
N191DN,147,147,NY
N191UW,1446,1446,CA
N192DN,147,147,NY
N192JB,119,119,NY
N192UW,1511,1511,AZ
N19357,6,6,TX
N193DN,147,147,NY
N193JB,1080,1080,NC
N19503,2865,2865,OH
N19554,116,116,WA
N195DN,539,539,GA
N19621,709,709,NY
N19623,1799,1799,TX
N19638,1057,1057,NY
N196DN,38,38,CO
N197DN,150,150,GA
N197JB,1118,1118,FL
N197UA,187,187,VA
N198DN,147,147,NY
N198JB,1297,1297,MA
N19966,2311,2311,NH
N199DN,147,147,NY
N200AA,309,309,NY
N200UU,1857,1857,NC
N200WN,1278,1278,OH
N201AA,300,300,TX
N201LV,3423,3423,NV
N201UU,959,959,NC
N202AA,318,318,TX
N202UA,42,42,CO
N202UW,1084,1084,FL
N202WN,1876,1876,NV
N203JB,917,917,NY
N203UA,79,79,CO
N203UW,959,959,NC
N203WN,1066,1066,IL
N204UA,247,247,IL
N204UW,1018,1018,PA
N204WN,883,883,NV
N205UW,1602,1602,FL
N205WN,98,98,WA
N206JB,439,439,MA
N206UA,247,247,IL
N206UW,1121,1121,NC
N206WN,3426,3426,CA
N207AA,421,421,TX
N207WN,871,871,NV
N208AA,300,300,TX
N208WN,176,176,TN
N209UA,902,902,CO
N209WN,2032,2032,TN
N210UA,1,1,IL
N210WN,88,88,NM
N21108,1095,1095,TX
N21129,2679,2679,NJ
N21130,2986,2986,MO
N21144,2097,2097,TX
N21154,2417,2417,NC
N21197,117,117,CA
N211NE,3200,3200,TX
N211UA,1,1,IL
N211WN,2163,2163,TN
N212UA,1,1,IL
N212WN,419,419,TN
N213UA,1,1,IL
N213WN,3584,3584,OH
N214AA,154,154,IL
N214UA,1,1,IL
N214WN,2556,2556,TN
N21537,2039,2039,OH
N215SW,5420,5420,CA
N215UA,1,1,IL
N215WN,112,112,TX
N216JB,1249,1249,MA
N216SW,5481,5481,CA
N216WR,3324,3324,NY
N21723,1614,1614,CO
N217JC,1195,1195,TX
N217SW,5428,5428,CA
N217UA,946,946,CA
N218AA,154,154,IL
N218AE,3201,3201,TX
N218SW,5426,5426,CA
N218UA,139,139,IL
N218WN,1413,1413,TN
N219AA,301,301,NY
N219AE,3200,3200,TX
N219WN,1042,1042,AL
N220SW,5423,5423,CA
N220WN,3834,3834,OH
N221SW,5446,5446,CA
N221UA,247,247,IL
N221WN,369,369,AL
N222UA,950,950,IL
N222WN,1944,1944,AL
N223AA,314,314,TX
N223SW,5445,5445,CA
N223UA,946,946,CA
N223WN,991,991,NY
N224SW,5443,5443,OR
N224WN,568,568,IL
N225UA,870,870,CA
N225WN,823,823,NM
N226SW,5723,5723,OR
N226WN,2928,2928,TX
N227AA,311,311,CA
N227SW,5525,5525,CA
N227WN,1320,1320,NM
N228JB,1046,1046,TN
N228UA,187,187,VA
N228WN,3141,3141,MD
N22909,7752,7752,CA
N22971,2821,2821,MO
N229JB,1082,1082,NC
N229SW,5429,5429,CA
N229WN,360,360,NM
N230WN,157,157,MD
N23139,2726,2726,NJ
N231JB,1211,1211,MA
N231WN,257,257,MD
N232AA,305,305,NY
N232AE,3200,3200,TX
N232SW,3678,3678,UT
N232WN,1766,1766,CA
N233AA,319,319,NY
N233LV,65,65,NY
N233SW,5517,5517,CA
N234AA,304,304,TX
N234SW,5410,5410,CA
N234WN,1144,1144,IN
N235SW,5496,5496,CA
N235WN,2195,2195,IL
N23657,1158,1158,GA
N23661,171,171,MN
N236AA,309,309,NY
N236AE,3200,3200,TX
N236JB,115,115,NY
N236SW,3677,3677,ID
N236WN,1774,1774,CA
N23707,1511,1511,TX
N23708,379,379,TX
N23721,734,734,AZ
N237AA,341,341,NY
N237SW,3674,3674,ID
N237WN,2726,2726,WA
N238AE,3201,3201,TX
N238JB,1060,1060,TX
N238WN,3020,3020,MD
N239JB,1308,1308,VA
N239WN,1114,1114,NM
N240AT,348,348,MA
N240DS,3001,3001,CA
N240WN,762,762,TN
N24103,2624,2624,OK
N24128,2669,2669,NJ
N241AA,309,309,NY
N241WN,1593,1593,TX
N24202,409,409,TX
N24211,700,700,FL
N24212,62,62,TX
N24224,315,315,PR
N242AA,154,154,IL
N242WN,2396,2396,NV
N243WN,933,933,FL
N244AA,346,346,TX
N244WN,2010,2010,NM
N24517,2620,2620,KS
N245AA,321,321,NY
N245AY,1586,1586,NC
N245WN,875,875,NV
N24633,1172,1172,NJ
N246AA,321,321,NY
N246AY,1005,1005,PA
N246LV,1339,1339,CA
N24702,1752,1752,TX
N24706,511,511,TX
N24715,1802,1802,NJ
N24729,362,362,OH
N24736,1874,1874,FL
N247JB,626,626,TX
N247WN,2788,2788,NM
N248AA,322,322,NM
N248AY,751,751,PA
N248WN,1029,1029,CA
N249AA,403,403,TX
N249AU,1018,1018,PA
N249JB,1257,1257,MA
N249WN,3245,3245,NM
N250AE,3309,3309,TX
N250AY,1268,1268,PA
N250WN,170,170,NV
N250YV,5468,5468,CA
N25134,2894,2894,NJ
N251AA,327,327,TX
N251AY,1684,1684,NC
N251WN,623,623,AL
N251YV,5483,5483,CA
N252WN,872,872,MD
N253AA,301,301,IL
N253AE,3001,3001,CA
N253AY,751,751,PA
N253WN,1422,1422,TN
N254WN,1948,1948,MD
N25504,2844,2844,TN
N255AA,307,307,FL
N255AY,1586,1586,NC
N255WN,3566,3566,TN
N256AY,1586,1586,NC
N256WN,3598,3598,NV
N25705,1504,1504,FL
N257WN,959,959,TN
N258AA,319,319,NY
N258JB,584,584,FL
N258WN,163,163,FL
N259AA,305,305,NY
N259WN,244,244,NV
N260WN,172,172,FL
N26123,293,293,FL
N26141,2242,2242,NC
N261AT,573,573,GA
N261WN,3679,3679,MD
N26208,1849,1849,FL
N26210,1501,1501,NJ
N26215,1653,1653,TX
N26226,1779,1779,TX
N262AA,301,301,NY
N262WN,3406,3406,MD
N263AE,3200,3200,TX
N263WN,135,135,MD
N264LV,2966,2966,CT
N26545,3002,3002,TX
N26549,209,209,CA
N265JB,1068,1068,TX
N265WN,456,456,TN
N266AA,154,154,IL
N266AE,3200,3200,TX
N266JB,1731,1731,IL
