carrier,origin_destination,code,description,tail_num,origin,destination,id,dep_time,distance,aircraft_engine_code,site_number
UA,LGA,100851,100851,N349UA,ORD,LGA,100851,2059,733,850,12953
UA,LGA,100852,100852,N936UA,ORD,LGA,100852,1903,733,850,12953
UA,LGA,100853,100853,N903UA,ORD,LGA,100853,1905,733,850,12953
UA,LGA,100854,100854,N942UA,ORD,LGA,100854,1854,733,850,12953
UA,LGA,100855,100855,N907UA,ORD,LGA,100855,2011,733,850,12953
UA,LGA,100856,100856,N328UA,ORD,LGA,100856,1945,733,850,12953
UA,LGA,100857,100857,N904UA,ORD,LGA,100857,1915,733,850,12953
UA,LGA,100858,100858,N365UA,ORD,LGA,100858,2318,733,850,12953
NW,DTW,1009,1009,N783NC,ORD,DTW,1009,1008,235,1242,11433
OH,CVG,10097,10097,N679CA,ORD,CVG,10097,2020,264,5032,11193
YV,MSN,101,101,N510MJ,ORD,MSN,101,2245,109,7382,13485
NW,DTW,1010,1010,N401EA,ORD,DTW,1010,1024,235,1242,11433
OH,CVG,10108,10108,N797CA,ORD,CVG,10108,1430,264,5043,11193
UA,SFO,101193,101193,N443UA,ORD,SFO,101193,1836,1846,863,14771
UA,SFO,101194,101194,N456UA,ORD,SFO,101194,1856,1846,863,14771
UA,SFO,101195,101195,N424UA,ORD,SFO,101195,1900,1846,863,14771
UA,SFO,101196,101196,,ORD,SFO,101196,,1846,863,14771
UA,SFO,101197,101197,N574UA,ORD,SFO,101197,1926,1846,863,14771
UA,SFO,101198,101198,N513UA,ORD,SFO,101198,1950,1846,863,14771
UA,SFO,101199,101199,N568UA,ORD,SFO,101199,1833,1846,863,14771
UA,SFO,101200,101200,N567UA,ORD,SFO,101200,1833,1846,863,14771
UA,SFO,101201,101201,N552UA,ORD,SFO,101201,2023,1846,863,14771
UA,SFO,101202,101202,N550UA,ORD,SFO,101202,1837,1846,863,14771
UA,SFO,101203,101203,N535UA,ORD,SFO,101203,1839,1846,863,14771
UA,SFO,101204,101204,N595UA,ORD,SFO,101204,1855,1846,863,14771
UA,SFO,101205,101205,N520UA,ORD,SFO,101205,1845,1846,863,14771
UA,SFO,101206,101206,N648UA,ORD,SFO,101206,1855,1846,863,14771
UA,SFO,101207,101207,N511UA,ORD,SFO,101207,2003,1846,863,14771
UA,SFO,101208,101208,N511UA,ORD,SFO,101208,1845,1846,863,14771
UA,SFO,101209,101209,N546UA,ORD,SFO,101209,1843,1846,863,14771
UA,SFO,101210,101210,N550UA,ORD,SFO,101210,1933,1846,863,14771
UA,SFO,101211,101211,N589UA,ORD,SFO,101211,1848,1846,863,14771
UA,SFO,101212,101212,N590UA,ORD,SFO,101212,1908,1846,863,14771
UA,SFO,101213,101213,N520UA,ORD,SFO,101213,2053,1846,863,14771
UA,SFO,101214,101214,N526UA,ORD,SFO,101214,1949,1846,863,14771
UA,SFO,101215,101215,N513UA,ORD,SFO,101215,1840,1846,863,14771
UA,SFO,101216,101216,N540UA,ORD,SFO,101216,1848,1846,863,14771
